dataset,refinement,elements,jm_dofs,h1_dofs,basis,smoother,h1,damping,iterations,residual,converged,moment_assembly_s,vertex_assembly_s,basis_map_s,aux_setup_s,smoother_setup_s,solve_median_s,apply_median_s
square_random,1,128,1216,243,vertex,macro,unsplit,1,22,2.89964763e-09,1,0.002979871,0.017401182,0.000705215,0.007973695,0.000767161,0.004776417,0.000201579
square_random,1,128,1216,243,vertex,split,unsplit,1,31,5.91606305e-09,1,0.002979871,0.017401182,0.000705215,0.007973695,0.000150523,0.005569166,0.000160802
square_random,1,128,1216,627,moment,jacobi,split,1,59,9.67647446e-09,1,0.002979871,0.017401182,0.000705215,0.008558163,5.11e-07,0.010181905,0.000162695
square_random,1,128,1216,627,moment,macro,split,1,21,3.93395168e-09,1,0.002979871,0.017401182,0.000705215,0.008558163,0.000848254,0.004804249,0.000202961
square_random,1,128,1216,627,moment,split,split,1,30,9.67408472e-09,1,0.002979871,0.017401182,0.000705215,0.008558163,0.00014868,0.006023069,0.000189236
square_random,1,128,1216,627,vertex,jacobi,split,1,41,6.52605334e-09,1,0.002979871,0.017401182,0.000705215,0.008558163,1.362e-06,0.007540621,0.000172314
square_random,1,128,1216,627,vertex,macro,split,1,21,3.9327325e-09,1,0.002979871,0.017401182,0.000705215,0.008558163,0.000746523,0.004837501,0.000214133
square_random,1,128,1216,627,vertex,split,split,1,30,9.67408472e-09,1,0.002979871,0.017401182,0.000705215,0.008558163,0.000146255,0.006016868,0.000183124
square_random,2,512,4736,867,moment,jacobi,unsplit,1,103,9.5897909e-09,1,0.01279701,0.071156374,0.00310738,0.031856748,1.543e-06,0.080294057,0.000692742
square_random,2,512,4736,867,moment,macro,unsplit,1,26,3.13947175e-09,1,0.01279701,0.071156374,0.00310738,0.031856748,0.003343684,0.027363324,0.000939265
square_random,2,512,4736,867,moment,split,unsplit,1,34,8.82143592e-09,1,0.01279701,0.071156374,0.00310738,0.031856748,0.000598204,0.030061204,0.000767262
square_random,2,512,4736,867,vertex,jacobi,unsplit,1,47,6.92246373e-09,1,0.01279701,0.071156374,0.00310738,0.031856748,1.273e-06,0.039257887,0.000732376
square_random,2,512,4736,867,vertex,macro,unsplit,1,26,3.16000944e-09,1,0.01279701,0.071156374,0.00310738,0.031856748,0.003295713,0.029325621,0.00090975
square_random,2,512,4736,867,vertex,split,unsplit,1,34,8.82143592e-09,1,0.01279701,0.071156374,0.00310738,0.031856748,0.000567085,0.030148689,0.000781318
square_random,2,512,4736,2403,moment,jacobi,split,1,68,7.65975106e-09,1,0.01279701,0.071156374,0.00310738,0.035087059,2.134e-06,0.061812605,0.000801737
square_random,2,512,4736,2403,moment,macro,split,1,25,4.16838421e-09,1,0.01279701,0.071156374,0.00310738,0.035087059,0.003261159,0.030039082,0.001006261
square_random,2,512,4736,2403,moment,split,split,1,34,7.12321099e-09,1,0.01279701,0.071156374,0.00310738,0.035087059,0.000595409,0.035217634,0.000866458
square_random,2,512,4736,2403,vertex,jacobi,split,1,45,6.55638922e-09,1,0.01279701,0.071156374,0.00310738,0.035087059,1.052e-06,0.043239921,0.000831092
square_random,2,512,4736,2403,vertex,macro,split,1,25,4.16166226e-09,1,0.01279701,0.071156374,0.00310738,0.035087059,0.003276397,0.031081502,0.001047488
square_random,2,512,4736,2403,vertex,split,split,1,34,7.12321099e-09,1,0.01279701,0.071156374,0.00310738,0.035087059,0.000608343,0.035281655,0.000927042
triangle_damped,5,1024,9408,1683,moment,jacobi,unsplit,0.33,112,9.77120576e-09,1,0.030193243,0.142800445,0.006900879,0.066283988,1.323e-06,0.223958306,0.002169638
triangle_damped,5,1024,9408,1683,moment,macro,unsplit,0.33,24,7.18919461e-09,1,0.030193243,0.142800445,0.006900879,0.066283988,0.006770524,0.067773207,0.003137657
triangle_damped,5,1024,9408,1683,moment,split,unsplit,0.33,44,8.08390509e-09,1,0.030193243,0.142800445,0.006900879,0.066283988,0.001143158,0.100090331,0.002372258
triangle_damped,5,1024,9408,1683,vertex,jacobi,unsplit,0.33,52,7.44493665e-09,1,0.030193243,0.142800445,0.006900879,0.066283988,1.543e-06,0.1148295,0.002392165
triangle_damped,5,1024,9408,1683,vertex,macro,unsplit,0.33,24,7.0603068e-09,1,0.030193243,0.142800445,0.006900879,0.066283988,0.007346928,0.069623264,0.003060251
triangle_damped,5,1024,9408,1683,vertex,split,unsplit,0.33,44,8.08390509e-09,1,0.030193243,0.142800445,0.006900879,0.066283988,0.001130435,0.101138711,0.002669156
triangle_damped,5,1024,9408,4755,moment,jacobi,split,0.33,64,8.51343055e-09,1,0.030193243,0.142800445,0.006900879,0.074502673,1.993e-06,0.15257793,0.002502372
triangle_damped,5,1024,9408,4755,moment,macro,split,0.33,23,7.78415084e-09,1,0.030193243,0.142800445,0.006900879,0.074502673,0.006823143,0.070543032,0.003199483
triangle_damped,5,1024,9408,4755,moment,split,split,0.33,38,7.71477994e-09,1,0.030193243,0.142800445,0.006900879,0.074502673,0.001142958,0.099977037,0.002732896
triangle_damped,5,1024,9408,4755,vertex,jacobi,split,0.33,46,6.72390887e-09,1,0.030193243,0.142800445,0.006900879,0.074502673,1.744e-06,0.121419664,0.002820781
triangle_damped,5,1024,9408,4755,vertex,macro,split,0.33,23,7.86776703e-09,1,0.030193243,0.142800445,0.006900879,0.074502673,0.008091987,0.077392233,0.003637386
triangle_damped,5,1024,9408,4755,vertex,split,split,0.33,38,7.71477994e-09,1,0.030193243,0.142800445,0.006900879,0.074502673,0.001385153,0.102087042,0.002856869
